tag	task	exp_type	merges_source	boundary	transition_point	threshold	batch_size	max_examples	split_strategy
B1	mmlu	plain	0	pretokens	0	-	4	1500	-
B2	mmlu	original_tk_hypernet	0	pretokens	0	-	4	1500	-
M_M10	mmlu	dynamic_bpe	op:10	pretokens	0	-	4	1500	-
U_M10	mmlu	dynamic_bpe	op:10	superbpe	0	-	4	1500	-
SM_M10	mmlu	dynamic_bpe_entropy_split	op:10	pretokens	0	3.0	4	1500	-
SMsup_M10	mmlu	dynamic_bpe_entropy_split	op:10	superbpe	0	3.0	4	1500	-
M_M20	mmlu	dynamic_bpe	op:20	pretokens	0	-	4	1500	-
U_M20	mmlu	dynamic_bpe	op:20	superbpe	0	-	4	1500	-
SM_M20	mmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	3.0	4	1500	-
SMsup_M20	mmlu	dynamic_bpe_entropy_split	op:20	superbpe	0	3.0	4	1500	-
M_M30	mmlu	dynamic_bpe	op:30	pretokens	0	-	4	1500	-
U_M30	mmlu	dynamic_bpe	op:30	superbpe	0	-	4	1500	-
SM_M30	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	3.0	4	1500	-
SMsup_M30	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	3.0	4	1500	-
M_M40	mmlu	dynamic_bpe	op:40	pretokens	0	-	4	1500	-
U_M40	mmlu	dynamic_bpe	op:40	superbpe	0	-	4	1500	-
SM_M40	mmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	3.0	4	1500	-
SMsup_M40	mmlu	dynamic_bpe_entropy_split	op:40	superbpe	0	3.0	4	1500	-
M_M50	mmlu	dynamic_bpe	op:50	pretokens	0	-	4	1500	-
U_M50	mmlu	dynamic_bpe	op:50	superbpe	0	-	4	1500	-
SM_M50	mmlu	dynamic_bpe_entropy_split	op:50	pretokens	0	3.0	4	1500	-
SMsup_M50	mmlu	dynamic_bpe_entropy_split	op:50	superbpe	0	3.0	4	1500	-
B1	kmmlu	plain	0	pretokens	0	-	4	1500	-
B2	kmmlu	original_tk_hypernet	0	pretokens	0	-	4	1500	-
M_M10	kmmlu	dynamic_bpe	op:10	pretokens	0	-	4	1500	-
U_M10	kmmlu	dynamic_bpe	op:10	superbpe	0	-	4	1500	-
SM_M10	kmmlu	dynamic_bpe_entropy_split	op:10	pretokens	0	3.0	4	1500	-
SMsup_M10	kmmlu	dynamic_bpe_entropy_split	op:10	superbpe	0	3.0	4	1500	-
M_M20	kmmlu	dynamic_bpe	op:20	pretokens	0	-	4	1500	-
U_M20	kmmlu	dynamic_bpe	op:20	superbpe	0	-	4	1500	-
SM_M20	kmmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	3.0	4	1500	-
SMsup_M20	kmmlu	dynamic_bpe_entropy_split	op:20	superbpe	0	3.0	4	1500	-
M_M30	kmmlu	dynamic_bpe	op:30	pretokens	0	-	4	1500	-
U_M30	kmmlu	dynamic_bpe	op:30	superbpe	0	-	4	1500	-
SM_M30	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	3.0	4	1500	-
SMsup_M30	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	3.0	4	1500	-
M_M40	kmmlu	dynamic_bpe	op:40	pretokens	0	-	4	1500	-
U_M40	kmmlu	dynamic_bpe	op:40	superbpe	0	-	4	1500	-
SM_M40	kmmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	3.0	4	1500	-
SMsup_M40	kmmlu	dynamic_bpe_entropy_split	op:40	superbpe	0	3.0	4	1500	-
M_M50	kmmlu	dynamic_bpe	op:50	pretokens	0	-	4	1500	-
U_M50	kmmlu	dynamic_bpe	op:50	superbpe	0	-	4	1500	-
SM_M50	kmmlu	dynamic_bpe_entropy_split	op:50	pretokens	0	3.0	4	1500	-
SMsup_M50	kmmlu	dynamic_bpe_entropy_split	op:50	superbpe	0	3.0	4	1500	-
