tag	task	exp_type	merges_source	boundary	transition_point	threshold	batch_size	max_examples	split_strategy
S_t1	mmlu	entropy_split	0	pretokens	0	1	4	1500	-
SM_t1	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	1	4	1500	-
SMsup_t1	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	1	4	1500	-
S_t2	mmlu	entropy_split	0	pretokens	0	2	4	1500	-
SM_t2	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	2	4	1500	-
SMsup_t2	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	2	4	1500	-
S_t3	mmlu	entropy_split	0	pretokens	0	3	4	1500	-
SM_t3	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	3	4	1500	-
SMsup_t3	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	3	4	1500	-
S_t4	mmlu	entropy_split	0	pretokens	0	4	4	1500	-
SM_t4	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	4	4	1500	-
SMsup_t4	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	4	4	1500	-
S_t5	mmlu	entropy_split	0	pretokens	0	5	4	1500	-
SM_t5	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	5	4	1500	-
SMsup_t5	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	5	4	1500	-
S_t6	mmlu	entropy_split	0	pretokens	0	6	4	1500	-
SM_t6	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	6	4	1500	-
SMsup_t6	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	6	4	1500	-
S_t8	mmlu	entropy_split	0	pretokens	0	8	4	1500	-
SM_t8	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	8	4	1500	-
SMsup_t8	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	8	4	1500	-
S_t100	mmlu	entropy_split	0	pretokens	0	100	4	1500	-
SM_t100	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	100	4	1500	-
SMsup_t100	mmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	100	4	1500	-
S_t1	kmmlu	entropy_split	0	pretokens	0	1	4	1500	-
SM_t1	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	1	4	1500	-
SMsup_t1	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	1	4	1500	-
S_t2	kmmlu	entropy_split	0	pretokens	0	2	4	1500	-
SM_t2	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	2	4	1500	-
SMsup_t2	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	2	4	1500	-
S_t3	kmmlu	entropy_split	0	pretokens	0	3	4	1500	-
SM_t3	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	3	4	1500	-
SMsup_t3	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	3	4	1500	-
S_t4	kmmlu	entropy_split	0	pretokens	0	4	4	1500	-
SM_t4	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	4	4	1500	-
SMsup_t4	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	4	4	1500	-
S_t5	kmmlu	entropy_split	0	pretokens	0	5	4	1500	-
SM_t5	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	5	4	1500	-
SMsup_t5	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	5	4	1500	-
S_t6	kmmlu	entropy_split	0	pretokens	0	6	4	1500	-
SM_t6	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	6	4	1500	-
SMsup_t6	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	6	4	1500	-
S_t8	kmmlu	entropy_split	0	pretokens	0	8	4	1500	-
SM_t8	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	8	4	1500	-
SMsup_t8	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	8	4	1500	-
S_t100	kmmlu	entropy_split	0	pretokens	0	100	4	1500	-
SM_t100	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	100	4	1500	-
SMsup_t100	kmmlu	dynamic_bpe_entropy_split	op:30	superbpe	0	100	4	1500	-
