tag	task	exp_type	merges_source	boundary	transition_point	threshold	batch_size	max_examples	split_strategy
SM_M20_t2	mmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	2	4	1500	-
SM_M20_t3	mmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	3	4	1500	-
SM_M20_t4	mmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	4	4	1500	-
SM_M20_t6	mmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	6	4	1500	-
SM_M30_t2	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	2	4	1500	-
SM_M30_t3	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	3	4	1500	-
SM_M30_t4	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	4	4	1500	-
SM_M30_t6	mmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	6	4	1500	-
SM_M40_t2	mmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	2	4	1500	-
SM_M40_t3	mmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	3	4	1500	-
SM_M40_t4	mmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	4	4	1500	-
SM_M40_t6	mmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	6	4	1500	-
SM_M20_t2	kmmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	2	4	1500	-
SM_M20_t3	kmmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	3	4	1500	-
SM_M20_t4	kmmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	4	4	1500	-
SM_M20_t6	kmmlu	dynamic_bpe_entropy_split	op:20	pretokens	0	6	4	1500	-
SM_M30_t2	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	2	4	1500	-
SM_M30_t3	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	3	4	1500	-
SM_M30_t4	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	4	4	1500	-
SM_M30_t6	kmmlu	dynamic_bpe_entropy_split	op:30	pretokens	0	6	4	1500	-
SM_M40_t2	kmmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	2	4	1500	-
SM_M40_t3	kmmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	3	4	1500	-
SM_M40_t4	kmmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	4	4	1500	-
SM_M40_t6	kmmlu	dynamic_bpe_entropy_split	op:40	pretokens	0	6	4	1500	-
