tag	task	exp_type	merges_source	boundary	transition_point	threshold	batch_size	max_examples	split_strategy
M30_bs1	mmlu	dynamic_bpe	op:30	pretokens	0	-	1	1500	-
M30_bs4	mmlu	dynamic_bpe	op:30	pretokens	0	-	4	1500	-
M30_bs8	mmlu	dynamic_bpe	op:30	pretokens	0	-	8	1500	-
M30_bs16	mmlu	dynamic_bpe	op:30	pretokens	0	-	16	1500	-
M30_bs32	mmlu	dynamic_bpe	op:30	pretokens	0	-	32	1500	-
M30_bs1	kmmlu	dynamic_bpe	op:30	pretokens	0	-	1	1500	-
M30_bs4	kmmlu	dynamic_bpe	op:30	pretokens	0	-	4	1500	-
M30_bs8	kmmlu	dynamic_bpe	op:30	pretokens	0	-	8	1500	-
M30_bs16	kmmlu	dynamic_bpe	op:30	pretokens	0	-	16	1500	-
M30_bs32	kmmlu	dynamic_bpe	op:30	pretokens	0	-	32	1500	-
